Date,Revenue
2024-06-30,25500000000.0
2024-03-31,21300000000.0
2023-12-31,25170000000.0
2023-09-30,23350000000.0
2023-06-30,24930000000.0
2023-03-31,23330000000.0
2022-12-31,24320000000.0
2022-09-30,21450000000.0
2022-06-30,16930000000.0
2022-03-31,18760000000.0
2021-12-31,17720000000.0
2021-09-30,13760000000.0
2021-06-30,11960000000.0
2021-03-31,10390000000.0
2020-12-31,10740000000.0
2020-09-30,8771000000.0
2020-06-30,6036000000.0
2020-03-31,5985000000.0
2019-12-31,7384000000.0
2019-09-30,6303000000.0
2019-06-30,6350000000.0
2019-03-31,4541000000.0
2018-12-31,7226000000.0
2018-09-30,6824000000.0
2018-06-30,4002000000.0
2018-03-31,3409000000.0
2017-12-31,3288000000.0
2017-09-30,2985000000.0
2017-06-30,2790000000.0
2017-03-31,2696000000.0
2016-12-31,2285000000.0
2016-09-30,2298000000.0
2016-06-30,1270000000.0
2016-03-31,1147000000.0
2015-12-31,1214000000.0
2015-09-30,936790000.0
2015-06-30,954980000.0
2015-03-31,939880000.0
2014-12-31,956660000.0
2014-09-30,851800000.0
2014-06-30,769350000.0
2014-03-31,620540000.0
2013-12-31,615220000.0
2013-09-30,431350000.0
2013-06-30,405140000.0
2013-03-31,561790000.0
2012-12-31,306330000.0
2012-09-30,50100000.0
2012-06-30,26650000.0
2012-03-31,30170000.0
